"","condition","target_ICC","beta1","beta2","beta3","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6"
"1",1,0.2,0.3,0.1,0,1,1,1,1,0.06,1,0.3,1,0.3,0.06,1,0.93,0.52,1,0.92,0.49,0.03,0.02
"2",2,0.2,0.3,0.1,0,1,1,1,1,0.05,1,0.9,1,0.9,0.05,1,1,0.99,1,1,0.98,0.03,0.04
"3",3,0.2,0.3,0.1,0,1,1,1,1,0.05,1,1,1,1,0.07,1,1,1,1,1,1,0.02,0.03
"4",4,0.4,0.3,0.1,0,1,1,1,1,0.06,1,0.85,1,0.85,0.05,1,0.98,0.25,1,0.98,0.23,0.04,0.04
"5",5,0.4,0.3,0.1,0,1,1,1,1,0.06,1,1,1,1,0.04,1,1,0.75,1,1,0.75,0.03,0.03
"6",6,0.4,0.3,0.1,0,1,1,1,1,0.05,1,1,1,1,0.04,1,1,1,1,1,1,0.03,0.04
"7",7,0.8,0.3,0.1,0,1,1,1,1,0.06,1,1,1,1,0.05,1,1,0.16,1,1,0.13,0.03,0.04
"8",8,0.8,0.3,0.1,0,1,1,1,1,0.06,1,1,1,1,0.06,1,1,0.59,1,1,0.57,0.04,0.04
"9",9,0.8,0.3,0.1,0,1,1,1,1,0.04,1,1,1,1,0.04,1,1,1,1,1,1,0.04,0.04
"10",10,0.2,0.3,0.3,0,1,1,1,1,0.06,1,0.94,1,0.93,0.07,1,1,0.99,1,1,0.99,0.01,0
"11",11,0.2,0.3,0.3,0,1,1,1,1,0.05,1,1,1,1,0.05,1,1,1,1,1,1,0,0
"12",12,0.2,0.3,0.3,0,1,1,1,1,0.04,1,1,1,1,0.04,1,1,1,1,1,1,0,0
"13",13,0.4,0.3,0.3,0,1,1,1,1,0.05,1,1,1,1,0.08,1,1,0.79,1,1,0.75,0,0.01
"14",14,0.4,0.3,0.3,0,1,1,1,1,0.04,1,1,1,1,0.07,1,1,1,1,1,1,0,0
"15",15,0.4,0.3,0.3,0,1,1,1,1,0.04,1,1,1,1,0.06,1,1,1,1,1,1,0,0
"16",16,0.8,0.3,0.3,0,1,1,1,1,0.05,1,1,1,1,0.06,1,1,0.53,1,1,0.44,0,0.01
"17",17,0.8,0.3,0.3,0,1,1,1,1,0.05,1,1,1,1,0.06,1,1,1,1,1,1,0,0.01
"18",18,0.8,0.3,0.3,0,1,1,1,1,0.06,1,1,1,1,0.04,1,1,1,1,1,1,0,0
"19",19,0.2,0.3,0.5,0,1,1,1,1,0.06,0.99,0.99,0.98,0.99,0.08,1,1,1,1,1,1,0,0
"20",20,0.2,0.3,0.5,0,1,1,1,1,0.05,1,1,1,1,0.06,1,1,1,1,1,1,0,0
"21",21,0.2,0.3,0.5,0,1,1,1,1,0.06,1,1,1,1,0.05,1,1,1,1,1,1,0,0
"22",22,0.4,0.3,0.5,0,1,1,1,1,0.05,1,1,0.99,1,0.06,1,1,0.91,1,1,0.88,0,0
"23",23,0.4,0.3,0.5,0,1,1,1,1,0.05,1,1,1,1,0.06,1,1,1,1,1,1,0,0
"24",24,0.4,0.3,0.5,0,1,1,1,1,0.05,1,1,1,1,0.06,1,1,1,1,1,1,0,0
"25",25,0.8,0.3,0.5,0,1,1,1,1,0.05,1,1,1,1,0.06,1,1,0.62,1,1,0.51,0,0
