"","condition","coef_con_diffxgender_composition_two_eff_p_sib2","CN","beta1","beta2","beta3","ICC"
"1",1,0.113,30,0.3,0.1,0,0.2
"2",2,0.32,120,0.3,0.1,0,0.2
"3",3,0.839,510,0.3,0.1,0,0.2
"4",4,0.111,30,0.3,0.1,0,0.4
"5",5,0.335,120,0.3,0.1,0,0.4
"6",6,0.855,510,0.3,0.1,0,0.4
"7",7,0.124,30,0.3,0.1,0,0.8
"8",8,0.3,120,0.3,0.1,0,0.8
"9",9,0.845,510,0.3,0.1,0,0.8
"10",10,0.153,30,0.3,0.3,0,0.2
"11",11,0.43,120,0.3,0.3,0,0.2
"12",12,0.959,510,0.3,0.3,0,0.2
"13",13,0.133,30,0.3,0.3,0,0.4
"14",14,0.429,120,0.3,0.3,0,0.4
"15",15,0.955,510,0.3,0.3,0,0.4
"16",16,0.119,30,0.3,0.3,0,0.8
"17",17,0.433,120,0.3,0.3,0,0.8
"18",18,0.957,510,0.3,0.3,0,0.8
"19",19,0.135,30,0.3,0.5,0,0.2
"20",20,0.238,120,0.3,0.5,0,0.2
"21",21,0.211,510,0.3,0.5,0,0.2
"22",22,0.145,30,0.3,0.5,0,0.4
"23",23,0.254,120,0.3,0.5,0,0.4
"24",24,0.208,510,0.3,0.5,0,0.4
"25",25,0.134,30,0.3,0.5,0,0.8
"26",26,0.228,120,0.3,0.5,0,0.8
"27",27,0.24,510,0.3,0.5,0,0.8
"28",111,0.085,510,0.3,0,0,0.2
