"","condition","cn","target_ICC","beta1","beta2","beta3","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6"
"1",1,30,0.2,0.3,0.1,0,0.998,0.136,0.997,0.044,0.039,0.997,0.158,0.113,0.976,0.03,0.031,0.033,0.039,1,1,1,1,0.0610610610610611,1,0.301,1,0.297,0.059,1,0.931,0.522,1,0.916,0.492,0.028,0.024
"2",2,120,0.2,0.3,0.1,0,1,0.417,1,0.082,0.087,1,0.657,0.32,1,0.083,0.072,0.071,0.064,1,1,1,1,0.051,1,0.901,1,0.899,0.054,1,1,0.986,1,1,0.985,0.026,0.038
"3",3,510,0.2,0.3,0.1,0,1,0.961,1,0.266,0.301,1,1,0.839,1,0.426,0.498,0.187,0.214,1,1,1,1,0.053,1,1,1,1,0.066,1,1,1,1,1,1,0.019,0.032
"4",4,30,0.4,0.3,0.1,0,0.999,0.108,0.998,0.043,0.04,0.999,0.141,0.111,0.973,0.027,0.031,0.03,0.041,1,1,1,1,0.059,1,0.853,1,0.85,0.053,1,0.984,0.254,1,0.98,0.23,0.045,0.039
"5",5,120,0.4,0.3,0.1,0,1,0.335,1,0.082,0.075,1,0.589,0.335,1,0.085,0.088,0.064,0.065,1,1,1,1,0.061,1,1,1,1,0.042,1,1,0.746746746746747,1,1,0.748,0.03,0.033
"6",6,510,0.4,0.3,0.1,0,1,0.92,1,0.21,0.341,1,0.999,0.855,1,0.374,0.51,0.205,0.204,1,1,1,1,0.048,1,1,1,1,0.038,1,1,1,1,1,1,0.025,0.037
"7",7,30,0.8,0.3,0.1,0,0.997,0.073,0.997,0.034,0.042,0.996,0.098,0.124,0.966,0.034,0.027,0.03,0.035,1,1,1,1,0.055,1,1,1,1,0.054,1,1,0.163,1,0.999,0.129,0.034,0.045
"8",8,120,0.8,0.3,0.1,0,1,0.173,1,0.055,0.074,1,0.37,0.3,1,0.064,0.078,0.071,0.08,1,1,1,1,0.057,1,1,1,1,0.057,1,1,0.587587587587588,1,1,0.57,0.043,0.042
"9",9,510,0.8,0.3,0.1,0,1,0.596,1,0.162,0.339,1,0.944,0.845,1,0.324,0.487,0.234,0.204,1,1,1,1,0.045,1,1,1,1,0.043,1,1,0.997,1,1,0.996,0.043,0.044
"10",10,30,0.2,0.3,0.3,0,0.936,0.877,0.932,0.201,0.324,0.959,0.932,0.153,0.884,0.133,0.202,0.019,0.022,1,1,1,1,0.058,1,0.939,1,0.931,0.072,1,1,0.992,1,1,0.986,0.009,0.002
"11",11,120,0.2,0.3,0.3,0,1,1,1,0.402,0.729,1,1,0.43,1,0.419,0.706,0.031,0.028,1,1,1,1,0.049,1,1,1,1,0.052,1,1,1,1,1,1,0.003,0.002
"12",12,510,0.2,0.3,0.3,0,1,1,1,0.943,1,1,1,0.959,1,0.982,1,0.237,0.215,1,1,1,1,0.035,1,1,1,1,0.045,1,1,1,1,1,1,0.005,0.005
"13",13,30,0.4,0.3,0.3,0,0.944,0.773,0.938,0.149,0.387,0.958,0.85,0.133,0.876,0.114,0.229,0.033,0.026,1,1,1,1,0.049,1,1,1,1,0.077,1,1,0.794,1,0.999,0.747,0.003,0.008
"14",14,120,0.4,0.3,0.3,0,1,1,1,0.339,0.895,1,1,0.429,1,0.353,0.856,0.017,0.025,1,1,1,1,0.042,1,1,1,1,0.067,1,1,1,1,1,1,0.004,0.003
"15",15,510,0.4,0.3,0.3,0,1,1,1,0.875,1,1,1,0.955,1,0.94,1,0.242,0.218,1,1,1,1,0.038,1,1,1,1,0.055,1,1,1,1,1,1,0.005,0.003
"16",16,30,0.8,0.3,0.3,0,0.953,0.427,0.944,0.105,0.419,0.965,0.468,0.119,0.9,0.094,0.242,0.026,0.025,1,1,1,1,0.047,1,1,1,1,0.063,1,1,0.527,1,1,0.444,0.001,0.006
