"","condition","target_ICC","beta1","beta2","beta3","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_catbtw_p_MLM3","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4"
"1",1,0.2,0.3,0.1,0,1,0.14,1,0.04,0.04,1,0.16,0.11,0.98,0.03,0.03,0.03,0.04,0.3,0.3,0.06
"2",2,0.2,0.3,0.1,0,1,0.42,1,0.08,0.09,1,0.66,0.32,1,0.08,0.07,0.07,0.06,0.9,0.9,0.05
"3",3,0.2,0.3,0.1,0,1,0.96,1,0.27,0.3,1,1,0.84,1,0.43,0.5,0.19,0.21,1,1,0.07
"4",4,0.4,0.3,0.1,0,1,0.11,1,0.04,0.04,1,0.14,0.11,0.97,0.03,0.03,0.03,0.04,0.85,0.85,0.05
"5",5,0.4,0.3,0.1,0,1,0.34,1,0.08,0.07,1,0.59,0.34,1,0.09,0.09,0.06,0.06,1,1,0.04
"6",6,0.4,0.3,0.1,0,1,0.92,1,0.21,0.34,1,1,0.86,1,0.37,0.51,0.2,0.2,1,1,0.04
"7",7,0.8,0.3,0.1,0,1,0.07,1,0.03,0.04,1,0.1,0.12,0.97,0.03,0.03,0.03,0.04,1,1,0.05
"8",8,0.8,0.3,0.1,0,1,0.17,1,0.06,0.07,1,0.37,0.3,1,0.06,0.08,0.07,0.08,1,1,0.06
"9",9,0.8,0.3,0.1,0,1,0.6,1,0.16,0.34,1,0.94,0.84,1,0.32,0.49,0.23,0.2,1,1,0.04
"10",10,0.2,0.3,0.3,0,0.94,0.88,0.93,0.2,0.32,0.96,0.93,0.15,0.88,0.13,0.2,0.02,0.02,0.94,0.93,0.07
"11",11,0.2,0.3,0.3,0,1,1,1,0.4,0.73,1,1,0.43,1,0.42,0.71,0.03,0.03,1,1,0.05
"12",12,0.2,0.3,0.3,0,1,1,1,0.94,1,1,1,0.96,1,0.98,1,0.24,0.22,1,1,0.04
"13",13,0.4,0.3,0.3,0,0.94,0.77,0.94,0.15,0.39,0.96,0.85,0.13,0.88,0.11,0.23,0.03,0.03,1,1,0.08
"14",14,0.4,0.3,0.3,0,1,1,1,0.34,0.9,1,1,0.43,1,0.35,0.86,0.02,0.03,1,1,0.07
"15",15,0.4,0.3,0.3,0,1,1,1,0.88,1,1,1,0.96,1,0.94,1,0.24,0.22,1,1,0.06
"16",16,0.8,0.3,0.3,0,0.95,0.43,0.94,0.1,0.42,0.96,0.47,0.12,0.9,0.09,0.24,0.03,0.03,1,1,0.06
"17",17,0.8,0.3,0.3,0,1,0.92,1,0.19,0.91,1,0.99,0.43,1,0.21,0.9,0.02,0.03,1,1,0.06
"18",18,0.8,0.3,0.3,0,1,1,1,0.58,1,1,1,0.96,1,0.67,1,0.24,0.23,1,1,0.04
"19",19,0.2,0.3,0.5,0,0.96,1,0.96,0.43,0.8,0.96,1,0.14,0.94,0.35,0.69,0.04,0.05,0.99,0.99,0.08
"20",20,0.2,0.3,0.5,0,1,1,1,0.79,0.99,1,1,0.24,1,0.78,0.98,0.05,0.05,1,1,0.06
"21",21,0.2,0.3,0.5,0,1,1,1,1,1,1,1,0.21,1,1,1,0.03,0.03,1,1,0.05
"22",22,0.4,0.3,0.5,0,0.98,1,0.97,0.35,0.85,0.98,1,0.14,0.94,0.28,0.77,0.05,0.06,1,1,0.06
"23",23,0.4,0.3,0.5,0,1,1,1,0.72,1,1,1,0.25,1,0.71,1,0.05,0.06,1,1,0.06
"24",24,0.4,0.3,0.5,0,1,1,1,1,1,1,1,0.21,1,1,1,0.05,0.04,1,1,0.06
"25",25,0.8,0.3,0.5,0,0.95,0.89,0.95,0.19,0.87,0.96,0.91,0.13,0.93,0.16,0.8,0.04,0.05,1,1,0.06
"26",26,0.8,0.3,0.5,0,1,1,1,0.51,1,1,1,0.23,1,0.48,1,0.05,0.04,1,1,0.04
"27",27,0.8,0.3,0.5,0,1,1,1,0.93,1,1,1,0.24,1,0.93,1,0.04,0.04,1,1,0.06
"28",28,0.2,0.3,0.1,0.1,1,0.24,1,0.1,0.36,0.98,0.23,0.15,0.96,0.08,0.02,0.4,0.21,0.26,0.26,0.09
"29",29,0.2,0.3,0.1,0.1,1,0.75,1,0.29,0.97,1,0.86,0.32,1,0.54,0.01,0.98,0.91,0.89,0.89,0.09
"30",30,0.2,0.3,0.1,0.1,1,1,1,0.84,1,1,1,0.8,1,1,0.05,1,1,1,1,0.09
"31",31,0.4,0.3,0.1,0.1,1,0.29,1,0.06,0.41,0.99,0.3,0.13,0.97,0.1,0.01,0.42,0.23,0.8,0.8,0.08
"32",32,0.4,0.3,0.1,0.1,1,0.9,1,0.2,0.99,1,0.95,0.34,1,0.61,0.02,0.98,0.89,1,1,0.07
"33",33,0.4,0.3,0.1,0.1,1,1,1,0.66,1,1,1,0.81,1,1,0.11,1,1,1,1,0.07
"34",34,0.8,0.3,0.1,0.1,1,0.4,0.99,0.05,0.52,0.99,0.43,0.13,0.97,0.12,0.02,0.42,0.18,1,1,0.06
"35",35,0.8,0.3,0.1,0.1,1,0.96,1,0.07,1,1,0.98,0.33,1,0.63,0.08,0.99,0.9,1,1,0.05
"36",36,0.8,0.3,0.1,0.1,1,1,1,0.2,1,1,1,0.84,1,1,0.6,1,1,1,1,0.07
"37",37,0.2,0.3,0.3,0.1,0.93,0.98,0.92,0.21,0.36,0.94,0.99,0.13,0.88,0.39,0.12,0.3,0.16,0.91,0.9,0.07
"38",38,0.2,0.3,0.3,0.1,1,1,1,0.72,0.83,1,1,0.38,1,0.99,0.18,0.96,0.6,1,1,0.07
"39",39,0.2,0.3,0.3,0.1,1,1,1,1,1,1,1,0.94,1,1,0.52,1,1,1,1,0.06
"40",40,0.4,0.3,0.3,0.1,0.92,0.98,0.92,0.19,0.5,0.94,0.98,0.15,0.88,0.37,0.13,0.27,0.15,1,1,0.08
"41",41,0.4,0.3,0.3,0.1,1,1,1,0.72,0.96,1,1,0.4,1,0.99,0.34,0.96,0.6,1,1,0.07
"42",42,0.4,0.3,0.3,0.1,1,1,1,1,1,1,1,0.95,1,1,0.96,1,1,1,1,0.06
"43",43,0.8,0.3,0.3,0.1,0.92,0.89,0.9,0.21,0.88,0.94,0.91,0.14,0.88,0.35,0.32,0.29,0.15,1,1,0.05
"44",44,0.8,0.3,0.3,0.1,1,1,1,0.67,1,1,1,0.42,1,0.95,0.99,0.97,0.56,1,1,0.05
"45",45,0.8,0.3,0.3,0.1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,0.06
"46",46,0.2,0.3,0.5,0.1,0.96,1,0.95,0.33,0.74,0.96,1,0.12,0.94,0.44,0.54,0.29,0.4,0.99,0.99,0.09
"47",47,0.2,0.3,0.5,0.1,1,1,1,0.89,0.95,1,1,0.2,1,0.99,0.76,0.9,0.86,1,1,0.05
"48",48,0.2,0.3,0.5,0.1,1,1,1,1,1,1,1,0.19,1,1,1,1,1,1,1,0.06
"49",49,0.4,0.3,0.5,0.1,0.96,1,0.96,0.27,0.81,0.96,1,0.15,0.92,0.36,0.64,0.26,0.4,1,1,0.08
"50",50,0.4,0.3,0.5,0.1,1,1,1,0.82,1,1,1,0.16,1,0.95,0.92,0.93,0.84,1,1,0.05
"51",51,0.4,0.3,0.5,0.1,1,1,1,1,1,1,1,0.17,1,1,1,1,1,1,1,0.06
"52",52,0.8,0.3,0.5,0.1,0.95,0.99,0.94,0.2,0.98,0.95,0.99,0.12,0.92,0.24,0.78,0.25,0.36,1,1,0.06
"53",53,0.8,0.3,0.5,0.1,1,1,1,0.63,1,1,1,0.18,1,0.79,1,0.93,0.85,1,1,0.06
"54",54,0.8,0.3,0.5,0.1,1,1,1,1,1,1,1,0.18,1,1,1,1,1,1,1,0.06
"55",55,0.2,0.3,0.1,0.3,0.87,0.12,0.76,0.29,0.54,0.82,0.12,0.12,0.95,0.15,0.03,0.86,0.85,0.2,0.2,0.11
"56",56,0.2,0.3,0.1,0.3,1,0.42,1,0.79,1,1,0.6,0.3,1,0.9,0.27,1,1,0.78,0.78,0.11
"57",57,0.2,0.3,0.1,0.3,1,0.95,1,1,1,1,1,0.72,1,1,0.99,1,1,1,1,0.09
"58",58,0.4,0.3,0.1,0.3,0.86,0.15,0.76,0.26,0.58,0.81,0.16,0.13,0.93,0.15,0.03,0.86,0.84,0.6,0.58,0.09
"59",59,0.4,0.3,0.1,0.3,1,0.55,1,0.76,1,1,0.73,0.3,1,0.89,0.36,1,1,1,1,0.09
"60",60,0.4,0.3,0.1,0.3,1,0.99,1,1,1,1,1,0.75,1,1,0.99,1,1,1,1,0.09
"61",61,0.8,0.3,0.1,0.3,0.85,0.18,0.72,0.16,0.58,0.79,0.2,0.16,0.93,0.14,0.06,0.85,0.83,1,1,0.05
"62",62,0.8,0.3,0.1,0.3,1,0.65,1,0.56,1,1,0.76,0.32,1,0.89,0.56,1,1,1,1,0.05
"63",63,0.8,0.3,0.1,0.3,1,1,1,0.99,1,1,1,0.8,1,1,1,1,1,1,1,0.06
"64",64,0.2,0.3,0.3,0.3,0.7,0.82,0.66,0.09,0.48,0.67,0.83,0.1,0.86,0.44,0.09,0.78,0.74,0.82,0.8,0.1
"65",65,0.2,0.3,0.3,0.3,1,1,1,0.11,0.99,1,1,0.22,1,1,0.36,1,1,1,1,0.09
"66",66,0.2,0.3,0.3,0.3,1,1,1,0.22,1,1,1,0.52,1,1,0.96,1,1,1,1,0.07
"67",67,0.4,0.3,0.3,0.3,0.64,0.84,0.61,0.07,0.63,0.6,0.84,0.12,0.86,0.4,0.12,0.77,0.71,1,1,0.08
"68",68,0.4,0.3,0.3,0.3,1,1,1,0.14,1,1,1,0.24,1,1,0.69,1,1,1,1,0.09
"69",69,0.4,0.3,0.3,0.3,1,1,1,0.42,1,1,1,0.57,1,1,1,1,1,1,1,0.08
"70",70,0.8,0.3,0.3,0.3,0.54,0.76,0.49,0.11,0.78,0.52,0.75,0.1,0.82,0.41,0.3,0.76,0.64,1,1,0.05
"71",71,0.8,0.3,0.3,0.3,1,1,1,0.27,1,1,1,0.23,1,1,1,1,1,1,1,0.05
"72",72,0.8,0.3,0.3,0.3,1,1,1,0.8,1,1,1,0.68,1,1,1,1,1,1,1,0.06
