coef_con_diffxgender_composition_two_eff_p_sib2,coef_con_diffxgender_composition_two_eff_sib2mean,CN,beta1,beta2,,ICC,coef_con_diffxgender_composition_two_eff_sib2mean,,,,,coef_con_diffxgender_composition_two_eff_p_sib2,beta3
8.5,0,510,0.3,0,,0.2,4.37827E-06,,,,,0.085,0
11.1,0.02,30,0.3,0.1,,0.4,0.024935353,,,,,0.111,0
11.3,0.03,30,0.3,0.1,,0.2,0.025436494,,,,,0.113,0
11.9,0.03,30,0.3,0.3,,0.8,0.032550552,,,,,0.119,0
12.4,0.02,30,0.3,0.1,,0.8,0.024398044,,,,,0.124,0
13.3,0.04,30,0.3,0.3,,0.4,0.035465743,,,,,0.133,0
13.4,-0.01,30,0.3,0.5,,0.8,-0.005234124,,,,,0.134,0
13.5,-0.01,30,0.3,0.5,,0.2,-0.006929142,,,,,0.135,0
14.5,-0.01,30,0.3,0.5,,0.4,-0.007252774,,,,,0.145,0
15.3,0.04,30,0.3,0.3,,0.2,0.037753766,,,,,0.153,0
20.8,0,510,0.3,0.5,,0.4,-0.001187006,,,,,0.208,0
21.1,0,510,0.3,0.5,,0.2,-0.001105736,,,,,0.211,0
22.8,0,120,0.3,0.5,,0.8,-0.002333789,,,,,0.228,0
23.8,0,120,0.3,0.5,,0.2,-0.00038714,,,,,0.238,0
24,0,510,0.3,0.5,,0.8,-0.000742873,,,,,0.24,0
25.4,0,120,0.3,0.5,,0.4,-0.002432987,,,,,0.254,0
30,0.02,120,0.3,0.1,,0.8,0.024106443,,,,,0.3,0
32,0.02,120,0.3,0.1,,0.2,0.024731215,,,,,0.32,0
33.5,0.02,120,0.3,0.1,,0.4,0.024730921,,,,,0.335,0
42.9,0.04,120,0.3,0.3,,0.4,0.03700514,,,,,0.429,0
43,0.04,120,0.3,0.3,,0.2,0.038456393,,,,,0.43,0
43.3,0.04,120,0.3,0.3,,0.8,0.037948388,,,,,0.433,0
83.9,0.02,510,0.3,0.1,,0.2,0.023937822,,,,,0.839,0
84.5,0.02,510,0.3,0.1,,0.8,0.023990075,,,,,0.845,0
85.5,0.02,510,0.3,0.1,,0.4,0.023989011,,,,,0.855,0
95.5,0.04,510,0.3,0.3,,0.4,0.038541653,,,,,0.955,0
95.7,0.04,510,0.3,0.3,,0.8,0.038516858,,,,,0.957,0
95.9,0.04,510,0.3,0.3,,0.2,0.038290918,,,,,0.959,0
